method,experiment,n_obs,n_seeds,f1_l2_mean,f1_l2_std,f2_res_mean,f2_res_std,f3_budget_mean,f3_budget_std,hv_mean,hv_std,spacing_mean,spacing_std,seeds
Grid (cylinder wake),cylinder_wake_grid_clean,50,3,0.49639394879341125,0.000519552155994113,0.008969776953260067,0.0003417756796330515,150.0,0.0,1.4012693730318786,0.5277266898174923,12.420412548176278,17.56442033109391,"0,1,2"
GradNorm (cylinder wake),cylinder_wake_grid_gradnorm,50,3,0.5081486304601034,0.004374161271384985,0.0030746374589700996,0.00013270211451637688,150.0,0.0,0.13252871681374434,0.09825914901362576,9.438726848699306e-08,1.3348375520965624e-07,"0,1,2"
ReLoBRaLo (cylinder wake),cylinder_wake_grid_relobralo,50,3,0.48351239164670307,0.00165580278084269,0.024408164123694034,0.0030270765504134644,150.0,0.0,0.06790525503067536,0.07352064543534576,0.0,0.0,"0,1,2"
Grid (cylinder wake),cylinder_wake_grid_clean,200,3,0.48396408557891846,0.0013217181766156712,0.0085702327390511,0.00038963708103487897,300.0,0.0,0.44046087614415114,0.01999438261352379,43.55720187002625,3.562989011632734,"0,1,2"
GradNorm (cylinder wake),cylinder_wake_grid_gradnorm,200,3,0.5029336313406626,0.009073520214959243,0.003130333575730467,0.000108979872502236,300.0,0.0,0.033962568083668855,0.014408625278777457,5.903657643235193e-07,8.349032706670793e-07,"0,1,2"
ReLoBRaLo (cylinder wake),cylinder_wake_grid_relobralo,200,3,0.49241089820861816,0.004906210337611136,0.022418163716793,0.002747470104284098,300.0,0.0,0.009537823671065046,0.006533758105467557,1.2676008181789023e-09,1.7926582687438353e-09,"0,1,2"
Grid (cylinder wake),cylinder_wake_grid_clean,500,3,0.4852987825870514,0.0008648783886348975,0.008022018708288633,0.0007328961511017433,600.0,0.0,0.2971801634898818,0.020103774198500835,21.648422333657866,21.643102859394663,"0,1,2"
GradNorm (cylinder wake),cylinder_wake_grid_gradnorm,500,3,0.5003344714641571,0.005222782932132508,0.0030093401825675666,0.00011662615431969497,600.0,0.0,0.030016032204884496,0.012932041419773822,5.681048711864347e-07,5.070894223700184e-07,"0,1,2"
ReLoBRaLo (cylinder wake),cylinder_wake_grid_relobralo,500,3,0.4871035615603129,0.0023412591393052995,0.021907412757476135,0.0028708709756391187,600.0,0.0,0.012387115722434464,0.012621594413268562,8.905660557181988e-08,8.905660557181988e-08,"0,1,2"
