pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed,real_data,real_data_sigma
burgers,grid_gradnorm,50.0,0.0,1.0,1.0,100.0,gradnorm,0.6281561998685652,0.048485249280929565,150.0,50.0,4.0,0,True,0.024413945694618782
burgers,grid_gradnorm,50.0,0.0,1.0,1.0,200.0,gradnorm,0.8986466679349625,0.0021013689693063498,250.0,50.0,4.0,0,True,0.024413945694618782
burgers,grid_gradnorm,50.0,0.0,1.0,1.0,300.0,gradnorm,0.9733222517189554,0.0012101411120966077,350.0,50.0,4.0,0,True,0.024413945694618782
burgers,grid_gradnorm,50.0,0.0,1.0,1.0,100.0,gradnorm,0.8999420408661102,0.0019318838603794575,150.0,50.0,4.0,1,True,0.019384081862078167
burgers,grid_gradnorm,50.0,0.0,1.0,1.0,200.0,gradnorm,0.8891726181492379,0.003533086273819208,250.0,50.0,4.0,1,True,0.019384081862078167
burgers,grid_gradnorm,50.0,0.0,1.0,1.0,300.0,gradnorm,0.8735512911230047,0.00790704321116209,350.0,50.0,4.0,1,True,0.019384081862078167
burgers,grid_gradnorm,50.0,0.0,1.0,1.0,100.0,gradnorm,0.9202467830140395,0.006461155600845814,150.0,50.0,4.0,2,True,0.01598179312014096
burgers,grid_gradnorm,50.0,0.0,1.0,1.0,200.0,gradnorm,0.7901034150183973,0.013865003362298012,250.0,50.0,4.0,2,True,0.01598179312014096
burgers,grid_gradnorm,50.0,0.0,1.0,1.0,300.0,gradnorm,1.016381068030888,0.0011907648295164108,350.0,50.0,4.0,2,True,0.01598179312014096
