pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,f1_l2_error,f2_pde_residual,f3_data_budget,seed
burgers,nsga3,0,0.0,9.350789165453897,8.1587196876612,51,0.4044654258449847,0.0350342914462089,51.0,0
burgers,nsga3,0,0.0,6.88477885897883,4.675116150801699,114,0.2629832732666823,0.058556281030178,114.0,0
burgers,nsga3,0,0.0,6.450779192175442,2.6985973509249392,59,0.3309279472932371,0.0478298477828502,59.0,0
burgers,nsga3,0,0.0,0.1662598276497624,8.132889121763524,457,0.814008104196877,0.0101983603090047,457.0,0
burgers,nsga3,0,0.0,0.3968891737653644,5.286364043336957,257,0.5968539969310358,0.0258141383528709,257.0,1
burgers,nsga3,0,0.0,4.978705397213514,7.5453225510866435,114,0.2862150698363282,0.0490559078752994,114.0,1
burgers,nsga3,0,0.0,0.2765635733174406,9.725049499487676,292,0.7920848224637717,0.0122166937217116,292.0,1
burgers,nsga3,0,0.0,1.2475902079044163,7.888205673417476,115,0.4419174538422472,0.0276344381272792,115.0,1
burgers,nsga3,0,0.0,0.3660891498428729,6.130420007229352,302,0.6698553427237097,0.0190299954265356,302.0,1
burgers,nsga3,0,0.0,7.0543413804035024,7.728659478382194,97,0.3650337520190407,0.055177628993988,97.0,2
burgers,nsga3,0,0.0,0.4234553510388887,5.8712772254591465,404,0.6786377886142853,0.0234699007123708,404.0,2
burgers,nsga3,0,0.0,2.0383485914597745,6.438275106487172,116,0.4138771473041254,0.0412645265460014,116.0,2
burgers,nsga3,0,0.0,2.546788558381226,2.985612942997819,97,0.3931869230149974,0.0443896278738975,97.0,2
burgers,nsga3,0,0.0,6.9624637507048845,2.927914769375859,51,0.47355246142274554,0.051076192408800125,51.0,3
burgers,nsga3,0,0.0,7.7412740582868755,3.937254265148865,59,0.3715976610495303,0.054985448718070984,59.0,3
burgers,nsga3,0,0.0,1.2507211226125978,8.627516002822937,107,0.5602849450241152,0.027819685637950897,107.0,3
burgers,nsga3,0,0.0,1.6136427791225803,7.584703995371301,51,0.5272857109271796,0.03222088888287544,51.0,3
burgers,nsga3,0,0.0,3.997162555083397,6.130262104305261,138,0.3879779733968583,0.04740413650870323,138.0,3
burgers,nsga3,0,0.0,3.7065208229731006,0.8498628268825149,105,0.3558192387828477,0.10016181319952011,105.0,3
burgers,nsga3,0,0.0,8.216212264226478,6.311867480693047,54,0.3175452168102433,0.04368530958890915,54.0,4
burgers,nsga3,0,0.0,1.4912917472219385,6.993737938522589,468,0.5365574921464945,0.038909927010536194,468.0,4
burgers,nsga3,0,0.0,0.37109194564803616,9.150656955200484,298,0.7599987697795646,0.01606142520904541,298.0,4
burgers,nsga3,0,0.0,0.3413697537061666,9.094057593427861,145,0.7519781539988446,0.01611989364027977,145.0,4
burgers,nsga3,0,0.0,1.2296712179541247,5.532586573543142,54,0.624302986094508,0.04326795041561127,54.0,4
burgers,nsga3,0,0.0,8.166266753722706,6.311867480693047,53,0.35652570608806683,0.09232445806264877,53.0,4
burgers,nsga3,0,0.0,0.7199737031531294,4.773973417945141,146,0.7442135737526874,0.04052206501364708,146.0,4
