method,experiment,n_obs,n_seeds,f1_l2_mean,f1_l2_std,f2_res_mean,f2_res_std,f3_budget_mean,f3_budget_std,hv_mean,hv_std,spacing_mean,spacing_std,real_data_sigma_mean,seeds
Grid (real-data),burgers_grid_clean,20,3,0.35035987738159285,0.04466564880942853,0.021021193514267567,0.0017279124489278327,120.0,0.0,20.467295622632914,2.4220017788831214,45.61163617871821,4.188727657336266,0.02265077950293157,"0,1,2"
GradNorm (real-data),burgers_grid_gradnorm,20,3,0.6949541657231187,0.11312582969773585,0.0005814020211497333,0.0001225297514834251,120.0,0.0,0.8426845561989333,0.6914297086705146,9.196692454302073e-05,3.921435037666736e-05,0.022650779502931564,"0,1,2"
ReLoBRaLo (real-data),burgers_grid_relobralo,20,3,0.48332978193051535,0.04705995024507991,0.05306679879625633,0.0013518472316711757,120.0,0.0,0.14834771617797957,0.08722196312405679,0.0,0.0,0.022650779502931564,"0,1,2"
Grid (real-data),burgers_grid_clean,50,3,0.2875029935050075,0.035437596280141447,0.024557560061415,0.0021313104279815777,150.0,0.0,16.479596366839946,2.2357263473854085,13.343299085880465,18.827752271124545,0.019926606892279236,"0,1,2"
GradNorm (real-data),burgers_grid_gradnorm,50,3,0.763936968669989,0.1247725926989648,0.0014442632673308,0.000422402938147284,150.0,0.0,0.42246808435292915,0.4277581787660488,8.190954714951458e-05,6.697041711683427e-05,0.01992660689227923,"0,1,2"
ReLoBRaLo (real-data),burgers_grid_relobralo,50,3,0.44804203962885464,0.007410686534106413,0.056279815733432735,0.0037803439682768886,150.0,0.0,0.37575678987956285,0.30867424250543474,6.062120920327709e-07,0.0,0.01992660689227923,"0,1,2"
Grid (real-data),burgers_grid_clean,100,3,0.28149051864272845,0.023077111592828208,0.021851247176527897,0.0013995442227000216,200.0,0.0,17.864058529437145,4.1618727334310215,41.22549454673995,2.853874303053621,0.021249388716530638,"0,1,2"
GradNorm (real-data),burgers_grid_gradnorm,100,3,0.7586314670600781,0.12301838019476412,0.002452457440085667,0.0011961919988081702,200.0,0.0,0.4015043804240259,0.46612107552531873,9.190350978980995e-06,1.2997118997443773e-05,0.021249388716530634,"0,1,2"
ReLoBRaLo (real-data),burgers_grid_relobralo,100,3,0.42495319356973144,0.012403947821978184,0.0518359964092572,0.000462243725796479,200.0,0.0,0.299615051994996,0.3285646331298974,6.882467450493006e-06,4.302159691088473e-06,0.021249388716530634,"0,1,2"
