selection_method,pde,algorithm,n_obs,obs_noise,hypervolume,spacing,n_pareto,n_runs,lam_data,lam_pde,n_collocation,f1_l2_error,f2_pde_residual,f3_data_budget,balancer,hidden_dim,n_layers,fuzzy_score
baseline_fixed_weights,burgers,grid,0.0,0.0,1.0280913994491585,49.9646018445007,4,12,1.0,1.0,100.0,0.3261100843209688,0.0309339668601751,100.0,fixed,50.0,4.0,
ideal_point,burgers,grid,0.0,0.0,1.0280913994491585,49.9646018445007,4,12,1.0,10.0,100.0,0.3223230427985573,0.0114126345142722,100.0,fixed,50.0,4.0,
knee_point,burgers,grid,0.0,0.0,1.0280913994491585,49.9646018445007,4,12,10.0,10.0,100.0,0.3931022612047364,0.0096465917304158,100.0,fixed,50.0,4.0,
nsga_first,burgers,grid,0.0,0.0,1.0280913994491585,49.9646018445007,4,12,1.0,1.0,300.0,0.2748002573442347,0.0308374315500259,300.0,fixed,50.0,4.0,
static_fuzzy,burgers,grid,0.0,0.0,1.0280913994491585,49.9646018445007,4,12,1.0,10.0,100.0,0.3223230427985573,0.0114126345142722,100.0,fixed,50.0,4.0,0.7044982087246954
baseline_fixed_weights,burgers,grid,20.0,0.05,0.08814794085896623,43.276031647467484,4,12,1.0,1.0,100.0,0.2945559625874701,0.0148535696789622,120.0,fixed,50.0,4.0,
ideal_point,burgers,grid,20.0,0.05,0.08814794085896623,43.276031647467484,4,12,10.0,10.0,100.0,0.269943596126238,0.0175016298890113,120.0,fixed,50.0,4.0,
knee_point,burgers,grid,20.0,0.05,0.08814794085896623,43.276031647467484,4,12,1.0,1.0,200.0,0.2459048894732793,0.0190743748098611,220.0,fixed,50.0,4.0,
nsga_first,burgers,grid,20.0,0.05,0.08814794085896623,43.276031647467484,4,12,1.0,1.0,100.0,0.2945559625874701,0.0148535696789622,120.0,fixed,50.0,4.0,
static_fuzzy,burgers,grid,20.0,0.05,0.08814794085896623,43.276031647467484,4,12,10.0,10.0,100.0,0.269943596126238,0.0175016298890113,120.0,fixed,50.0,4.0,0.698195901563417
baseline_fixed_weights,burgers,nsga2,0.0,0.0,1.0353167327826596,6.053016028281471,6,6,1.920789488266192,4.31119469695535,86.0,0.2956940443732985,0.0197913479059934,86.0,,,,
ideal_point,burgers,nsga2,0.0,0.0,1.0353167327826596,6.053016028281471,6,6,7.663075937360029,4.370817559621897,71.0,0.3509594315709106,0.0051493900828063,71.0,,,,
knee_point,burgers,nsga2,0.0,0.0,1.0353167327826596,6.053016028281471,6,6,7.739786529511078,4.389345519080772,436.0,0.2334394732114746,0.0389938801527023,436.0,,,,
nsga_first,burgers,nsga2,0.0,0.0,1.0353167327826596,6.053016028281471,6,6,7.739786529511078,4.389345519080772,436.0,0.2334394732114746,0.0389938801527023,436.0,,,,
static_fuzzy,burgers,nsga2,0.0,0.0,1.0353167327826596,6.053016028281471,6,6,2.3387161337722726,4.366331350851715,96.0,0.2834394198620377,0.0101186046376824,96.0,,,,0.7298724498261775
baseline_fixed_weights,poisson,grid,0.0,0.0,0.0014382692046241076,0.003446527212308113,5,27,1.0,1.0,100.0,0.0004696772666648,0.0123716164380311,100.0,fixed,50.0,4.0,
ideal_point,poisson,grid,0.0,0.0,0.0014382692046241076,0.003446527212308113,5,27,1.0,10.0,100.0,0.0013815093552693,0.007836983539164,100.0,fixed,50.0,4.0,
knee_point,poisson,grid,0.0,0.0,0.0014382692046241076,0.003446527212308113,5,27,10.0,10.0,200.0,0.0001012863212963,0.0032346621155738,200.0,fixed,50.0,4.0,
nsga_first,poisson,grid,0.0,0.0,0.0014382692046241076,0.003446527212308113,5,27,1.0,0.1,200.0,6.444586324505508e-05,0.0124546075239777,200.0,fixed,50.0,4.0,
static_fuzzy,poisson,grid,0.0,0.0,0.0014382692046241076,0.003446527212308113,5,27,1.0,10.0,100.0,0.0013815093552693,0.007836983539164,100.0,fixed,50.0,4.0,0.8589008989819267
